year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,84295100,China,Djibouti,49142139.91,18789902.14,3086662.05
2016,34021900,Kenya,Kenya,10520874.97,13229559.32,1080726.52
2016,84502000,China,China,16297917.49,935228.23,785364.27
2016,33030000,France,France,41611960.08,11556652.32,2446285.91
2016,29413000,China,China,42658.89,9942524.4,458786.6
2016,84717000,United States,United Kingdom,813325.62,9843753.68,490605.76
2016,39233010,United Arab Emirates,Djibouti,8596365.76,9547368.94,818237.75
2016,85442000,Italy,Italy,11052831.25,17555894.59,1314129.65
2016,11072000,France,Belgium,31961875.74,31094781.17,2679052.99
2016,87029090,Japan,Somalia,7004297.38,11575937.82,851026.16
2016,84289000,China,China,9218578.71,26679762.97,1621754.07
2016,44109000,China,Djibouti,13896859.47,15430118.93,1242791.73
2016,11071000,France,France,25467486.62,37670746.35,2700948.07
2016,84186900,China,China,14192522.81,7607722.85,997738.4
2016,24022000,Lithuania,United Arab Emirates,13138698.29,7146839.89,932669.09
2016,85371000,China,Djibouti,256819.2,5565183.5,267063.62
2016,33052000,China,China,6617696.66,10255103.53,744800.55
2016,76169900,China,China,47306007.67,14139560.34,2811457.22
2016,84322900,China,China,115312.86,4929996.85,228580.56
2016,84382000,India,India,10560455.34,952005.51,527566.16
2016,76109000,China,China,24807492.37,33527794.68,2646203.41
2016,62052000,China,China,7766375.49,10588086.19,841297.33
2016,21021000,China,China,22894628.37,24374135.39,2132037.11
2016,17023000,India,India,25010029.15,17136729.94,1770896.7
2016,87032490,Japan,United Arab Emirates,37858127.77,78444177.13,5337397.05
2016,39042100,China,China,4921893.43,16653740.73,950823.24
2016,87089900,India,India,17975392.61,14512541.06,1487114.42
2016,39011000,Sweden,Sweden,5145755.84,1475455.94,299117.57
2016,19011010,France,Denmark,5900784.91,6652551.57,571669.74
2016,40116100,India,India,13300080.98,2414671.5,716643.65
2016,27122000,Egypt,Egypt,33213846.97,18653569.59,2309142.13
2016,85075010,China,China,935709.19,14064920.41,687790.8
2016,36030000,Turkey,Turkey,13431376.7,11397264.58,1141622.12
2016,84191990,China,China,338189.34,5397409.24,261804.15
2016,84713010,Denmark,Denmark,2795118.93,5418445.36,377896.65
2016,87051000,"Korea, Republic of","Korea, Republic of",12000.0,4647274.77,213942.24
2016,84642000,Italy,Djibouti,14455.0,4606848.53,212081.18
2016,39013000,Saudi Arabia,Djibouti,5568737.38,8498214.67,630841.49
2016,39019000,France,Netherlands,4665613.23,3078111.11,348204.11
2016,48201000,China,China,9039768.11,22698647.54,1422270.12
2016,27101940,India,India,107326304.53,72339654.92,7803722.32
2016,84552100,India,India,30309340.37,42689088.06,3336933.53
2016,54024800,"Korea, Republic of","Korea, Republic of",13578324.47,8411738.65,993887.94
2016,48025600,China,China,6655651.29,5839613.18,548902.4
2016,73269090,Netherlands,Belgium,8486646.91,15885632.68,1116713.55
