year,code,destination,net_mass,fob_etb,fob_usd
2016,7133300,Hungary,356000.0,4410574.6,203045.5
2016,41120000,China,267622.35,137013963.54,6307583.67
2016,52051200,China,724717.9,31104866.19,1431945.62
2016,12101000,Sudan,477960.0,15485647.11,712898.25
2016,7133300,South Africa,6763500.0,88073164.66,4054541.89
2016,62029300,Germany,4595.9,7095093.3,326630.17
2016,12074090,Australia,114000.0,4075626.01,187625.78
2016,9024000,Pakistan,806770.0,33737262.32,1553130.78
2016,7082000,Netherlands,655421.28,12106413.01,557331.61
2016,64059000,Kenya,86416.0,25867706.23,1190847.4
2016,9011100,Finland,864000.0,88820546.46,4088948.41
2016,7133300,Italy,910000.0,12617897.91,580878.36
2016,62063000,Japan,30868.0,10254246.53,472065.16
2016,52093900,Turkey,70596.0,10230480.16,470971.04
2016,9011100,Russian Federation,1217400.0,86951810.52,4002919.16
2016,6031900,Japan,311869.87,34554022.71,1590731.23
2016,12019000,Turkey,1892000.0,17537432.82,807354.4
2016,61051000,Germany,124950.95,34365374.38,1582046.6
2016,12079990,Italy,661500.0,16639166.56,766001.75
2016,12011000,Viet Nam,1540000.0,12346514.68,568384.95
2016,12079990,Israel,231122.0,5243005.4,241367.33
2016,9041200,South Africa,79295.0,6358421.16,292716.69
2016,7129090,Djibouti,8123.85,6145366.27,282908.48
2016,22087000,South Sudan,647663.87,20953691.24,964625.49
2016,7133300,Saudi Arabia,1118000.0,14845974.06,683450.23
2016,7133300,United Arab Emirates,1056993.0,16082475.44,740373.87
2016,5100090,"Korea, Republic of",300.0,5017077.73,230966.51
2016,41131000,Italy,119947.0,26081439.02,1200686.8
2016,9041200,Saudi Arabia,143372.0,11462622.37,527694.02
2016,7031000,Djibouti,8404475.0,31566041.11,1453176.32
2016,41131000,Hong Kong,188219.57,78209504.18,3600457.81
2016,61112000,United States,180923.5,18140788.4,835130.51
2016,61083200,Germany,63359.04,21928644.12,1009508.48
2016,62042900,United States,63345.37,15960730.48,734769.21
2016,12074090,Mexico,247000.0,5633514.93,259344.85
2016,7020000,Djibouti,6918008.5,33125465.46,1524966.08
2016,25231000,Djibouti,22354346.0,38874651.93,1789635.97
2016,25232100,Kenya,24680000.0,47189843.25,2172434.65
2016,7133300,Yemen,4792100.0,60374467.19,2779402.88
2016,33059000,United States,29260.55,1329748.2,61216.38
2016,61059000,Germany,31945.0,7566598.34,348336.41
2016,9011100,United Arab Emirates,449132.0,27794455.19,1279547.33
2016,44072900,Sudan,7427350.0,15673518.45,721547.12
2016,7135000,Djibouti,613772.0,10245315.09,471653.99
2016,12011000,Kenya,3699400.0,28914312.85,1331101.19
2016,58021100,Turkey,19492.1,2178154.16,100273.65
2016,7132000,Switzerland,1500.0,129616.8,5967.05
2016,41120000,Indonesia,25639.0,26128246.72,1202841.67
2016,9041200,Malta,471.0,123094.94,5666.81
2016,9041200,Djibouti,146634.0,6474701.66,298069.79
2016,7133100,Belgium,144000.0,1471170.81,67726.91
2016,2042100,United Arab Emirates,185032.43,20288126.84,933985.51
2016,12092900,Egypt,960000.0,7612025.01,350427.68
2016,61059000,United States,64979.35,5833702.39,268560.7
2016,63041900,Norway,140035.2,14722691.46,677774.79
2016,12079990,Netherlands,737033.0,17740064.12,816682.74
2016,73072900,Singapore,97380.41,6714179.8,309094.41
2016,7133300,France,752000.0,8783350.57,404350.89
2016,12011000,India,3692000.0,35300629.56,1625102.08
